GDP Ranking,Country,
1,United States,
2,China,
3,Japan,
4,Germany,
5,India,
6,United Kingdom,
7,France,
8,Russian Federation,
9,Canada,
10,Italy,a
11,Brazil,
12,Australia,
13,"Korea, Rep.",
14,Mexico,
15,Spain,
16,Indonesia,
17,Saudi Arabia,
18,Netherlands,
19,Türkiye,
20,Switzerland,
21,Poland,
22,Argentina,
23,Norway,
24,Sweden,
25,Belgium,
26,Ireland,
27,Israel,
28,United Arab Emirates,
29,Thailand,
30,"Egypt, Arab Rep.",
31,Nigeria,
32,Austria,
33,Singapore,
34,Bangladesh,
35,"Iran, Islamic Rep.",
36,Viet Nam,
37,Malaysia,
38,South Africa,
39,Philippines,
40,Denmark,
41,Pakistan,
42,"Hong Kong SAR, China",
43,Colombia,
44,Chile,
45,Romania,
46,Czech Republic,
47,Finland,
48,Iraq,
49,Portugal,
50,New Zealand,
51,Peru,
52,Qatar,
53,Kazakhstan,
54,Greece,
55,Algeria,
56,Hungary,
57,Kuwait,
58,Ukraine,
59,Morocco,
60,Ethiopia,a
61,Slovak Republic,b
62,Ecuador,
63,Oman,
64,Dominican Republic,
65,Puerto Rico,
66,Kenya,
67,Cuba,
68,Angola,
69,Guatemala,
70,Bulgaria,
71,Luxembourg,
72,Uzbekistan,
73,Azerbaijan,
74,Panama,
75,Tanzania,
76,Sri Lanka,
77,Ghana,c
78,Belarus,
79,Croatia,
80,Uruguay,
81,Lithuania,
82,Côte d'Ivoire,
83,Costa Rica,
84,"Congo, Dem. Rep.",
85,Serbia,
86,Myanmar,
87,Slovenia,
88,Turkmenistan,
89,Sudan,
90,Jordan,
91,Tunisia,
92,Libya,
93,Uganda,
94,Bahrain,
95,Bolivia,
96,Cameroon,
97,Paraguay,
98,Latvia,
99,Nepal,
100,Estonia,
101,El Salvador,
102,Honduras,
103,Papua New Guinea,
104,Trinidad and Tobago,
105,Cambodia,
106,Cyprus,
107,Zambia,
108,Iceland,d
109,Senegal,
110,Zimbabwe,
111,Georgia,
112,Bosnia and Herzegovina,
113,"Macao SAR, China",e
114,Lebanon,
115,"Yemen, Rep.",
116,Gabon,
117,Guinea,
118,Botswana,
119,Haiti,
120,Armenia,
121,West Bank and Gaza,
122,Albania,
123,Mali,
124,Burkina Faso,
125,Mozambique,
126,Malta,
127,Benin,
128,Mongolia,
129,Jamaica,
130,Brunei Darussalam,
131,"Congo, Rep.",
132,Nicaragua,
133,Lao PDR,
134,Niger,
135,Madagascar,
136,Guyana,
137,Moldova,
138,Afghanistan,
139,North Macedonia,f
140,Rwanda,
141,Malawi,
142,Mauritius,
143,Namibia,
144,"Bahamas, The",
145,Chad,
146,Equatorial Guinea,
147,Channel Islands,
148,Kyrgyz Republic,
149,Tajikistan,
150,Somalia,
151,Mauritania,
152,New Caledonia,
153,Kosovo,
154,Syrian Arab Republic,
155,Monaco,
156,Togo,
157,Liechtenstein,
158,Bermuda,
159,Cayman Islands,
160,Isle of Man,
161,Montenegro,
162,Maldives,
163,Guam,
164,French Polynesia,
165,Barbados,
166,Fiji,
167,Eswatini,
168,Virgin Islands (U.S.),
169,Sierra Leone,
170,Liberia,
171,Suriname,
172,Faroe Islands,
173,Aruba,
174,Djibouti,
175,Andorra,
176,Burundi,
177,Greenland,
178,Timor-Leste,
179,Curaçao,
180,Belize,
181,Bhutan,
182,Central African Republic,
183,St. Lucia,
184,Lesotho,
185,Cabo Verde,
186,"Gambia, The",
187,Antigua and Barbuda,
188,San Marino,
189,Guinea-Bissau,
190,Solomon Islands,
191,Seychelles,
192,Sint Maarten (Dutch part),
193,Comoros,
194,Grenada,
195,Turks and Caicos Islands,
196,Vanuatu,
197,St. Kitts and Nevis,
198,St. Vincent and the Grenadines,
199,American Samoa,
200,Northern Mariana Islands,
201,Samoa,
202,St. Martin (French part),
203,Dominica,
204,São Tomé and Principe,
205,Tonga,
206,"Micronesia, Fed. Sts.",
207,Marshall Islands,
208,Palau,
209,Kiribati,
210,Nauru,
211,Tuvalu,
,British Virgin Islands,
,Eritrea,
,Gibraltar,
,"Korea, Dem. People's Rep.",
,South Sudan,
,"Venezuela, RB",